t,theta,omega,x,y
0.0000000000,0.1244189403,-0.4893158777,0.1240981863,-0.9922699432
0.0000000000,0.1239290165,-0.4905308974,0.1236120347,-0.9923306228
0.0000000000,0.1234378801,-0.4917411418,0.1231246501,-0.9923912134
0.0000000000,0.1229455358,-0.4929465990,0.1226360371,-0.9924517129
0.0000000000,0.1224519885,-0.4941472569,0.1221462003,-0.9925121187
0.0000000000,0.1219572429,-0.4953431035,0.1216551444,-0.9925724285
0.0000000000,0.1214613039,-0.4965341268,0.1211628741,-0.9926326400
0.0000000000,0.1209641762,-0.4977203151,0.1206693940,-0.9926927507
0.0000000000,0.1204658649,-0.4989016564,0.1201747089,-0.9927527584
0.0000000000,0.1199663746,-0.5000781390,0.1196788236,-0.9928126607
0.0000000000,0.1194657102,-0.5012497510,0.1191817427,-0.9928724552
0.0000000000,0.1189638767,-0.5024164809,0.1186834710,-0.9929321395
0.0000000000,0.1184608789,-0.5035783168,0.1181840134,-0.9929917114
0.0000000000,0.1179567217,-0.5047352473,0.1176833744,-0.9930511686
0.0000000000,0.1174514100,-0.5058872608,0.1171815591,-0.9931105086
0.0000000000,0.1169449488,-0.5070343457,0.1166785721,-0.9931697291
0.0000000000,0.1164373430,-0.5081764906,0.1161744184,-0.9932288279
0.0000000000,0.1159285975,-0.5093136840,0.1156691027,-0.9932878025
0.0000000000,0.1154187173,-0.5104459146,0.1151626299,-0.9933466508
0.0000000000,0.1149077073,-0.5115731710,0.1146550048,-0.9934053704
0.0000000000,0.1143955726,-0.5126954420,0.1141462324,-0.9934639589
0.0000000000,0.1138823181,-0.5138127164,0.1136363176,-0.9935224141
0.0000000000,0.1133679488,-0.5149249829,0.1131252652,-0.9935807337
0.0000000000,0.1128524698,-0.5160322304,0.1126130801,-0.9936389154
0.0000000000,0.1123358860,-0.5171344478,0.1120997674,-0.9936969569
0.0000000000,0.1118182026,-0.5182316241,0.1115853319,-0.9937548559
0.0000000000,0.1112994245,-0.5193237484,0.1110697787,-0.9938126102
0.0000000000,0.1107795568,-0.5204108096,0.1105531126,-0.9938702175
0.0000000000,0.1102586045,-0.5214927968,0.1100353387,-0.9939276756
0.0000000000,0.1097365729,-0.5225696993,0.1095164620,-0.9939849821
0.0000000000,0.1092134668,-0.5236415062,0.1089964875,-0.9940421348
0.0000000000,0.1086892916,-0.5247082068,0.1084754203,-0.9940991315
0.0000000000,0.1081640521,-0.5257697904,0.1079532653,-0.9941559699
0.0000000000,0.1076377537,-0.5268262463,0.1074300276,-0.9942126479
0.0000000000,0.1071104014,-0.5278775640,0.1069057123,-0.9942691631
0.0000000000,0.1065820003,-0.5289237329,0.1063803245,-0.9943255134
0.0000000000,0.1060525556,-0.5299647425,0.1058538693,-0.9943816965
0.0000000000,0.1055220725,-0.5310005823,0.1053263518,-0.9944377103
0.0000000000,0.1049905562,-0.5320312421,0.1047977770,-0.9944935525
0.0000000000,0.1044580118,-0.5330567113,0.1042681502,-0.9945492209
0.0000000000,0.1039244445,-0.5340769797,0.1037374764,-0.9946047134
0.0000000000,0.1033898595,-0.5350920372,0.1032057609,-0.9946600278
0.0000000000,0.1028542621,-0.5361018734,0.1026730089,-0.9947151619
0.0000000000,0.1023176575,-0.5371064782,0.1021392254,-0.9947701135
0.0000000000,0.1017800509,-0.5381058416,0.1016044156,-0.9948248804
0.0000000000,0.1012414476,-0.5390999535,0.1010685849,-0.9948794606
0.0000000000,0.1007018528,-0.5400888039,0.1005317384,-0.9949338519
0.0000000000,0.1001612717,-0.5410723829,0.0999938814,-0.9949880520
0.0000000000,0.0996197098,-0.5420506806,0.0994550191,-0.9950420590
0.0000000000,0.0990771722,-0.5430236871,0.0989151567,-0.9950958706
0.0000000000,0.0985336642,-0.5439913927,0.0983742996,-0.9951494848
0.0000000000,0.0979891911,-0.5449537877,0.0978324530,-0.9952028995
0.0000000000,0.0974437584,-0.5459108622,0.0972896222,-0.9952561125
0.0000000000,0.0968973712,-0.5468626068,0.0967458125,-0.9953091217
0.0000000000,0.0963500349,-0.5478090119,0.0962010293,-0.9953619251
0.0000000000,0.0958017549,-0.5487500679,0.0956552778,-0.9954145206
0.0000000000,0.0952525366,-0.5496857653,0.0951085635,-0.9954669061
0.0000000000,0.0947023852,-0.5506160947,0.0945608916,-0.9955190796
0.0000000000,0.0941513062,-0.5515410469,0.0940122676,-0.9955710389
0.0000000000,0.0935993049,-0.5524606123,0.0934626968,-0.9956227821
0.0000000000,0.0930463868,-0.5533747819,0.0929121847,-0.9956743072
